question_id,user_id,answerd_correctly,time_taken,timeTaken_minmax,difficulty_encoded
1,1,1,10,0.19999999999999996,1
2,2,1,9,0.29999999999999993,1
3,3,1,11,0.5,1
4,4,1,7,0.0,1
5,5,1,10,0.7999999999999998,1
6,6,1,8,0.5,1
7,7,1,12,1.0,2
8,8,1,8,0.6000000000000001,2
9,9,1,7,0.2857142857142858,1
10,10,1,9,0.7142857142857142,1
11,11,1,7,0.75,2
12,12,1,4,0.0,2
13,13,1,4,0.16666666666666663,1
14,14,1,9,0.0,1
15,15,1,8,0.0,1
16,16,1,7,0.40000000000000013,1
17,17,0,13,1.0,2
18,18,1,9,0.25,1
19,19,1,9,0.0,2
20,20,1,6,0.25,1
21,21,1,8,0.19999999999999996,1
22,22,1,10,0.75,1
23,23,1,6,0.0,1
24,24,1,6,0.16666666666666674,1
25,25,1,8,0.33333333333333326,2
26,26,1,5,0.0,1
27,27,1,9,0.8,2
28,28,1,6,0.1428571428571429,1
29,29,1,7,0.2857142857142858,1
30,30,1,6,0.25,1
31,31,1,5,0.1428571428571428,1
32,32,1,6,0.0,1
33,33,1,6,0.16666666666666674,2
34,34,1,6,0.33333333333333337,1
35,35,1,4,0.0,1
36,36,1,5,0.25,2
37,37,1,6,0.6666666666666667,1
38,38,1,4,0.0,1
39,39,1,5,0.0,1
40,40,1,6,1.0,2
41,41,1,6,0.33333333333333337,1
42,42,1,7,1.0,2
43,43,1,3,0.0,1
44,44,1,6,0.6666666666666667,2
45,45,1,6,0.6666666666666667,2
46,46,1,4,0.33333333333333326,1
47,47,1,5,0.33333333333333326,1
48,48,1,5,0.33333333333333326,2
49,49,1,4,0.0,1
50,50,1,6,0.6666666666666667,2
51,51,1,4,0.0,1
52,52,1,5,0.5,2
53,53,1,5,0.5,2
54,54,1,5,0.5,2
55,55,1,4,0.0,1
56,56,1,6,0.5,2
57,57,1,6,1.0,2
58,58,1,5,0.33333333333333326,2
59,59,1,4,0.0,1
60,60,1,6,0.5,2
61,61,1,5,0.33333333333333326,2
62,62,1,5,0.5,2
63,63,1,6,0.6666666666666667,2
64,1,1,8,0.0,1
65,2,1,14,0.8,2
66,3,1,9,0.0,2
67,4,1,10,0.4285714285714284,1
68,5,1,6,0.0,1
69,6,0,10,1.0,2
70,7,1,7,0.16666666666666652,1
71,8,1,10,1.0,2
72,9,1,5,0.0,1
73,10,0,11,1.0,2
74,11,1,4,0.0,1
75,12,1,6,0.5,1
76,13,1,5,0.33333333333333326,2
77,14,1,12,0.6000000000000003,1
78,15,1,11,0.6000000000000001,2
79,16,1,5,0.0,1
80,17,1,10,0.5,1
81,18,1,10,0.5,1
82,19,1,12,0.6000000000000003,2
83,20,1,8,0.75,2
84,21,1,10,0.5999999999999999,1
85,22,1,11,1.0,2
86,23,1,9,0.75,2
87,24,1,5,0.0,1
88,25,1,7,0.16666666666666652,1
89,26,1,9,1.0,2
90,27,1,10,1.0,2
91,28,1,8,0.4285714285714286,2
92,29,1,5,0.0,1
93,30,1,9,1.0,2
94,31,1,6,0.2857142857142857,1
95,32,1,7,0.25,2
96,33,1,7,0.33333333333333326,2
97,34,0,10,0.9999999999999999,2
98,35,1,6,0.6666666666666667,2
99,36,1,4,0.0,1
100,37,1,5,0.33333333333333326,1
101,38,1,5,0.25,1
102,39,1,6,0.3333333333333335,2
103,40,1,5,0.6666666666666665,1
104,41,0,10,0.9999999999999999,1
105,42,1,6,0.5,1
106,43,1,4,0.33333333333333326,1
107,44,1,5,0.33333333333333326,1
108,45,1,4,0.0,1
109,46,1,3,0.0,1
110,47,1,4,0.0,1
111,48,1,6,0.6666666666666667,2
112,49,1,5,0.5,2
113,50,1,7,0.9999999999999998,2
114,51,1,5,1.0,1
115,52,1,4,0.0,1
116,53,1,6,1.0,2
117,54,1,4,0.0,1
118,55,1,5,0.5,1
119,56,1,7,1.0,2
120,57,1,5,0.5,2
121,58,1,6,0.6666666666666667,2
122,59,1,5,0.5,1
123,60,1,5,0.0,2
124,61,1,7,0.9999999999999998,2
125,62,1,5,0.5,1
126,63,1,5,0.33333333333333326,1
127,1,0,15,0.7,2
128,2,1,7,0.09999999999999998,1
129,3,0,13,1.0,2
130,4,0,14,1.0,2
131,5,1,7,0.19999999999999996,2
132,6,1,6,0.0,1
133,7,1,6,0.0,1
134,8,1,9,0.8,1
135,9,1,9,0.5714285714285714,2
136,10,1,6,0.2857142857142857,1
137,11,1,6,0.5,2
138,12,1,5,0.25,2
139,13,1,6,0.5,2
140,14,0,14,1.0000000000000002,2
141,15,0,13,1.0,2
142,16,1,9,0.8,2
143,17,1,9,0.3333333333333335,1
144,18,0,12,1.0,1
145,19,1,11,0.40000000000000013,2
146,20,1,9,1.0,2
147,21,1,7,0.0,1
148,22,1,8,0.25,1
149,23,1,7,0.25,1
150,24,1,9,0.6666666666666667,1
151,25,1,6,0.0,1
152,26,1,6,0.25,1
153,27,1,6,0.20000000000000018,1
154,28,1,5,0.0,1
155,29,1,6,0.1428571428571429,1
156,30,1,7,0.5,1
157,31,0,11,1.0,2
158,32,1,6,0.0,1
159,33,1,5,0.0,1
160,34,1,4,0.0,1
161,35,1,5,0.33333333333333326,1
162,36,1,6,0.5,1
163,37,1,7,0.9999999999999998,1
164,38,1,4,0.0,1
165,39,1,7,0.6666666666666665,2
166,40,1,4,0.33333333333333326,1
167,41,1,5,0.16666666666666663,1
168,42,1,5,0.0,2
169,43,1,5,0.6666666666666665,1
170,44,1,4,0.0,1
171,45,1,7,0.9999999999999998,2
172,46,1,5,0.6666666666666665,1
173,47,1,6,0.6666666666666667,2
174,48,1,4,0.0,2
175,49,1,6,1.0,2
176,50,1,5,0.33333333333333326,2
177,51,1,5,1.0,1
178,52,1,6,1.0,2
179,53,1,4,0.0,1
180,54,1,5,0.5,2
181,55,1,5,0.5,1
182,56,1,5,0.0,2
183,57,1,5,0.5,1
184,58,1,4,0.0,1
185,59,1,6,1.0,2
186,60,1,7,1.0,2
187,61,1,6,0.6666666666666667,2
188,62,1,4,0.0,1
189,63,1,4,0.0,1
190,1,1,12,0.40000000000000013,2
191,2,1,6,0.0,1
192,3,1,10,0.25,2
193,4,1,9,0.2857142857142856,2
194,5,0,11,1.0,2
195,6,1,7,0.25,1
196,7,1,11,0.8333333333333333,2
197,8,1,7,0.40000000000000013,1
198,9,1,6,0.1428571428571429,1
199,10,1,5,0.1428571428571428,1
200,11,0,8,1.0,2
201,12,1,4,0.0,2
202,13,1,3,0.0,1
203,14,1,10,0.19999999999999996,1
204,15,1,12,0.8000000000000003,2
205,16,1,10,1.0,3
206,17,1,8,0.16666666666666674,2
207,18,1,11,0.75,2
208,19,0,14,1.0000000000000002,3
209,20,1,7,0.5,1
210,21,0,12,1.0000000000000002,2
211,22,1,7,0.0,1
212,23,1,10,1.0,2
213,24,1,8,0.5,1
214,25,1,10,0.6666666666666665,2
215,26,1,7,0.5,2
216,27,1,7,0.40000000000000013,1
217,28,0,12,1.0,2
218,29,1,8,0.4285714285714286,2
219,30,1,5,0.0,1
220,31,1,7,0.4285714285714286,1
221,32,0,10,1.0,2
222,33,1,6,0.16666666666666674,1
223,34,1,5,0.16666666666666663,1
224,35,1,7,0.9999999999999998,2
225,36,1,5,0.25,1
226,37,1,6,0.6666666666666667,1
227,38,0,8,1.0,2
228,39,1,8,1.0,2
229,40,1,5,0.6666666666666665,1
230,41,1,4,0.0,1
231,42,1,5,0.0,1
232,43,1,6,1.0,2
233,44,1,7,0.9999999999999998,2
234,45,1,5,0.33333333333333326,2
235,46,1,6,1.0,1
236,47,1,7,0.9999999999999998,2
237,48,1,7,0.9999999999999998,2
238,49,1,4,0.0,2
239,50,1,6,0.6666666666666667,1
240,51,1,4,0.0,1
241,52,1,5,0.5,2
242,53,1,5,0.5,1
243,54,1,5,0.5,1
244,55,1,6,1.0,2
245,56,1,5,0.0,2
246,57,1,4,0.0,1
247,58,1,5,0.33333333333333326,2
248,59,1,5,0.5,1
249,60,1,5,0.0,1
250,61,1,4,0.0,1
251,62,1,6,1.0,2
252,63,1,7,0.9999999999999998,2
253,1,0,18,1.0,1
254,2,0,16,1.0,2
255,3,1,12,0.75,3
256,4,0,13,0.857142857142857,2
257,5,1,9,0.5999999999999999,1
258,6,1,9,0.75,1
259,7,1,10,0.6666666666666665,2
260,8,1,5,0.0,1
261,9,0,12,1.0,2
262,10,1,4,0.0,1
263,11,1,5,0.25,2
264,12,1,8,1.0,3
265,13,0,9,1.0,3
266,14,0,13,0.8,2
267,15,1,10,0.3999999999999999,3
268,16,1,6,0.20000000000000018,2
269,17,1,7,0.0,1
270,18,1,8,0.0,2
271,19,1,10,0.19999999999999996,2
272,20,1,5,0.0,1
273,21,1,9,0.3999999999999999,2
274,22,1,9,0.5,2
275,23,1,8,0.5,2
276,24,0,11,1.0,2
277,25,0,12,1.0,2
278,26,1,8,0.75,2
279,27,1,5,0.0,1
280,28,1,6,0.1428571428571429,1
281,29,0,12,1.0,2
282,30,1,6,0.25,2
283,31,1,4,0.0,1
284,32,1,9,0.75,2
285,33,0,11,1.0,3
286,34,1,7,0.4999999999999999,1
287,35,1,6,0.6666666666666667,1
288,36,1,8,1.0,2
289,37,1,4,0.0,1
290,38,1,6,0.5,2
291,39,1,5,0.0,1
292,40,1,3,0.0,1
293,41,1,4,0.0,1
294,42,1,6,0.5,2
295,43,1,4,0.33333333333333326,1
296,44,1,5,0.33333333333333326,1
297,45,1,6,0.6666666666666667,2
298,46,1,4,0.33333333333333326,1
299,47,1,5,0.33333333333333326,1
300,48,1,5,0.33333333333333326,2
301,49,1,5,0.5,2
302,50,1,4,0.0,1
303,51,1,4,0.0,1
304,52,1,6,1.0,2
305,53,1,6,1.0,2
306,54,1,6,1.0,2
307,55,1,5,0.5,2
308,56,1,6,0.5,2
309,57,1,5,0.5,1
310,58,1,7,0.9999999999999998,2
311,59,1,4,0.0,1
312,60,1,6,0.5,2
313,61,1,5,0.33333333333333326,2
314,62,1,5,0.5,2
315,63,1,6,0.6666666666666667,2
